company,year,detail_url,pdf_url
ATTIJARIWAFA BANK,2019,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2019,https://www.ammc.ma/sites/default/files/AWB_RFA_2019_0.pdf
ATTIJARIWAFA BANK,2020,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2020,https://www.ammc.ma/sites/default/files/ATW_RFA_2020_0.pdf
ATTIJARIWAFA BANK,2021,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2021,https://www.ammc.ma/sites/default/files/AWB_RFA_2021_def.pdf
ATTIJARIWAFA BANK,2022,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2022,https://www.ammc.ma/sites/default/files/AWB_RFA_2022_0.pdf
ATTIJARIWAFA BANK,2023,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2023,https://www.ammc.ma/sites/default/files/AWB_RFA_2023.pdf
ATTIJARIWAFA BANK,2024,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2024,https://www.ammc.ma/sites/default/files/AWB_RFA_2024_1.pdf
ATTIJARIWAFA BANK,2025,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2025,https://www.ammc.ma/sites/default/files/AWB_RFA_2025.pdf
Banque Centrale Populaire (BCP),2020,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2020,https://www.ammc.ma/sites/default/files/BCP_RFA_2020.pdf
Banque Centrale Populaire (BCP),2021,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2021,https://www.ammc.ma/sites/default/files/BCP_RFA_2021.pdf
Banque Centrale Populaire (BCP),2022,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2022,https://www.ammc.ma/sites/default/files/BCP%20RFA%202022.pdf
Banque Centrale Populaire (BCP),2023,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2023,https://www.ammc.ma/sites/default/files/BCP_RFA_2023_1.pdf
Banque Centrale Populaire (BCP),2024,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2024,https://www.ammc.ma/sites/default/files/BCP_RFA_2024.pdf
Banque Centrale Populaire (BCP),2025,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2025,https://www.ammc.ma/sites/default/files/BCP_RFA_2025_compressed.pdf
CIH Bank,2019,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cih-bank-rfa-2019,https://www.ammc.ma/sites/default/files/CIH_Bank_RFA_2019.pdf
